Nombres|Fuma|Departamento
Amelia|Yes|Antioquia
Channing|No|Antioquia
Nora|Yes|Antioquia
Brock|No|Caquetá
Demetrius|No|Atlántico
Paul|Yes|Antioquia
Vivien|Yes|Bolívar
Zephania|Yes|Antioquia
Doris|Yes|Antioquia
Cody|Yes|Bolívar
Owen|Yes|Antioquia
Katell|No|Antioquia
Ignacia|Yes|Antioquia
Reece|No|Bolívar
Hanna|Yes|Antioquia
Hedwig|No|Bolívar
Buffy|Yes|Antioquia
Silas|Yes|Antioquia
Marah|No|Bolívar
Halee|No|Bolívar
Amery|No|Antioquia
Cullen|No|Antioquia
Roary|No|Vaupés
Lester|No|Atlántico
Allistair|Yes|Antioquia
Griffin|Yes|Valle del Cauca
Lester|Yes|Antioquia
Wyatt|Yes|Bolívar
Faith|No|Nariño
Neville|No|Atlántico
Simon|Yes|Antioquia
Hamilton|No|Atlántico
Hedwig|Yes|Bolívar
Harlan|Yes|Vichada
Cameron|No|Bolívar
David|No|Arauca
Wing|No|Antioquia
Rama|No|Atlántico
Clementine|No|Antioquia
Cedric|Yes|Antioquia
Alfreda|No|Bolívar
Dominic|Yes|Antioquia
Talon|No|Antioquia
Hayley|No|Casanare
Melvin|Yes|Antioquia
Orson|No|Antioquia
Rylee|Yes|Antioquia
Evan|Yes|Bolívar
Victor|Yes|Antioquia
Lillith|Yes|Bolívar
Nissim|Yes|Antioquia
Francis|No|Atlántico
Bryar|Yes|Antioquia
Francis|Yes|Antioquia
Gisela|No|Antioquia
Eve|Yes|Bolívar
Petra|No|Antioquia
Ariel|Yes|Antioquia
Daria|No|Bolívar
Trevor|Yes|Atlántico
Devin|Yes|Antioquia
Amal|No|Antioquia
Roanna|Yes|Atlántico
Nash|Yes|Cauca
Hadassah|No|Atlántico
Freya|Yes|Antioquia
Robin|No|Sucre
Gil|No|Antioquia
Keiko|Yes|Arauca
Pascale|Yes|Bolívar
Fay|Yes|Bolívar
Emerald|No|Bolívar
Clark|Yes|Antioquia
Idola|Yes|Caldas
Keely|Yes|Atlántico
Keefe|No|Bolívar
Ali|Yes|Atlántico
Sylvester|Yes|Atlántico
Heather|No|Antioquia
Tatiana|No|San Andrés y Providencia
Zia|Yes|Antioquia
Vera|Yes|Antioquia
Porter|Yes|Atlántico
Camilla|Yes|Antioquia
Hyatt|No|Atlántico
Chancellor|No|Atlántico
Christian|No|Atlántico
Benedict|No|Atlántico
Harlan|Yes|Antioquia
Audrey|No|Antioquia
Adara|Yes|Antioquia
Rosalyn|Yes|Antioquia
Sybill|Yes|Antioquia
Rosalyn|No|Antioquia
Renee|No|Bolívar
Blaine|Yes|Antioquia
Mollie|No|Bolívar
Avram|No|Antioquia
Idola|No|Antioquia
Coby|Yes|Antioquia
